"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000202",3.49714161216091,3.16062854042443,3.77188625576723,"Porphyromonas"
"Otu001273",1.8722462691769,1.63916606711459,1.99574367271506,"Parvimonas"
"Otu000442",1.29866734133929,1.03447940584074,1.50363870236417,"Fusobacterium"
"Otu000570",1.05576146898712,0.85701091145387,1.23925638270464,"Gemella"
"Otu000254",1.05334246107581,0.844893786176401,1.26892446874668,"Prevotella"
"Otu000037",1.01693461738422,0.911648967847646,1.24962330275554,"Streptococcus"
"Otu001307",0.892857908495408,0.733271669091043,1.06495924749751,"Coprobacillus"
"Otu000101",0.77161506195583,0.676306703492591,0.960709995581608,"Pasteurellaceae"
"Otu000026",0.759892404342063,0.629983383718989,0.938181631937568,"Collinsella"
"Otu000116",0.713320912152975,0.591156343787935,0.901577140179661,"Bilophila"
"Otu000001",0.664838606267738,0.571645091172943,0.78307086724718,"Bacteroides"
"Otu000021",0.640899507439756,0.53384534754205,0.783394886426939,"Parabacteroides"
"Otu000756",0.639977018009357,0.493083770511377,0.803511890005092,"Clostridium XlVa"
"Otu000073",0.632302113044803,0.507625170739128,0.767090385587278,"Odoribacter"
"Otu000004",0.62297175068101,0.492378777479743,0.75081652300904,"Anaerostipes"
"Otu000315",0.621933386961278,0.482028165226128,0.728767187764227,"Clostridium XlVb"
"Otu000006",0.617156974186668,0.500545856596001,0.764379311716788,"Bacteroides"
"Otu000085",0.591884068386819,0.512318235546045,0.725289563779973,"Dorea"
"Otu000161",0.569595254989405,0.462080613329111,0.744469614179855,"Ruminococcaceae"
"Otu000005",0.562681614890688,0.495201509753172,0.682329717990175,"Bacteroides"
"Otu000061",0.541267313149945,0.443490419613684,0.618663406701239,"Ruminococcaceae"
"Otu000015",0.540520149192717,0.473987457883671,0.630497105208674,"Lachnospiraceae"
"Otu000076",0.526066586210362,0.4643314426796,0.637198686083463,"Alistipes"
"Otu000420",0.506956831731832,0.366736910763856,0.71506453744756,"Streptococcus"
"Otu000340",0.505680473115402,0.37265451859524,0.60061552161845,"Dorea"
"Otu000010",0.503250073256205,0.437723481459165,0.575973166332636,"Roseburia"
"Otu000031",0.487895561084449,0.423494442815272,0.583683685042914,"Ruminococcus"
"Otu000679",0.487330202335038,0.399076764697799,0.602247203588952,"Streptococcus"
"Otu000149",0.48715137464677,0.362446248477851,0.63162537344281,"Clostridium XlVa"
"Otu000523",0.462726542931961,0.337771417079975,0.627024405535341,"Clostridium XlVa"
"Otu000002",0.459423298202442,0.37512213438698,0.54511711496555,"Anaerostipes"
"Otu000168",0.457979354067199,0.312085278923255,0.549052548712364,"Enterobacteriaceae"
"Otu000640",0.451532799264776,0.378239094614218,0.515212879984944,"Lachnospiraceae"
"Otu000034",0.447329005272636,0.369805036347439,0.56512535661812,"Ruminococcaceae"
"Otu000041",0.434497288684986,0.381940271637571,0.532198740079118,"Clostridium XI"
"Otu000013",0.426570311841914,0.358629088044657,0.526234974258252,"Blautia"
"Otu000058",0.419205155921069,0.347111013694245,0.48536501395986,"Lachnospiraceae"
"Otu000176",0.407765473993405,0.333855596779328,0.491473642036566,"Clostridium XlVa"
"Otu000140",0.399485136293513,0.297916318035875,0.52391758886837,"Lachnospiraceae"
"Otu000059",0.395517979086175,0.326542056905604,0.45707543931528,"Bacteroides"
"Otu000003",0.394228186479825,0.356104683790631,0.428352222149495,"Blautia"
"Otu000605",0.385646643093361,0.318380702344514,0.471590776361457,"Blautia"
"Otu000290",0.378209664889595,0.291535303009065,0.44683155875377,"Clostridium IV"
