"variables","variable","value"
"Otu000202","run_1",3.4844548683173
"Otu000037","run_1",2.3219858846612
"Otu000004","run_1",2.21005026160553
"Otu000041","run_1",2.14735985700943
"Otu000001","run_1",2.0968371085971
"Otu000026","run_1",2.05540625087008
"Otu000006","run_1",2.04045928904615
"Otu000021","run_1",2.00540831317812
"Otu000061","run_1",2.0006607843233
"Otu000073","run_1",1.99093754420191
"Otu000005","run_1",1.95193927626333
"Otu000059","run_1",1.92612741092948
"Otu000010","run_1",1.9258736219715
"Otu000161","run_1",1.89504929234538
"Otu000015","run_1",1.83506535630804
"Otu000135","run_1",1.83497179201454
"Otu000058","run_1",1.76906035483213
"Otu000013","run_1",1.76143527153607
"Otu000076","run_1",1.74816285940884
"Otu000014","run_1",1.74225086087526
"Otu000640","run_1",1.73608083966188
"Otu000116","run_1",1.72800181795381
"Otu000085","run_1",1.69864402450279
"Otu000002","run_1",1.68938538833603
"Otu001273","run_1",1.6585661447863
"Otu000101","run_1",1.65081862236022
"Otu000315","run_1",1.64273416791578
"Otu000442","run_1",1.6397931754805
"Otu000009","run_1",1.62684387426213
"Otu000176","run_1",1.62661978560702
"Otu000003","run_1",1.62572024733351
"Otu000016","run_1",1.61764127350786
"Otu000031","run_1",1.59013588967555
"Otu000756","run_1",1.58997880292891
"Otu000036","run_1",1.58697646398038
"Otu000034","run_1",1.58228375224128
"Otu000083","run_1",1.55698104914981
"Otu000012","run_1",1.5410086333327
"Otu000278","run_1",1.53957848907167
"Otu000028","run_1",1.52091823961339
"Otu000432","run_1",1.4984285184225
"Otu000020","run_1",1.47078174651364
"Otu001307","run_1",1.46708785589147
"Otu000206","run_1",1.43836983175174
"Otu000168","run_1",1.43391096741611
"Otu000149","run_1",1.42840040384209
"Otu000290","run_1",1.39312675169281
"Otu000570","run_1",1.32732181465739
"Otu000222","run_1",1.32356524315704
"Otu000254","run_1",1.3147766247827
"Otu000450","run_1",1.26769639771079
"Otu000144","run_1",1.25813126284856
"Otu000420","run_1",1.20185206356434
"Otu000605","run_1",1.16224206342493
"Otu000484","run_1",1.05417890179041
"Otu000523","run_1",1.00689745746397
"Otu000340","run_1",1.00047201157054
"Otu000140","run_1",0.904687287714389
"Otu000679","run_1",0.86447771315304
"Otu000202","run_2",3.05790522320076
"Otu000037","run_2",2.16657489011871
"Otu000004","run_2",2.14568111778116
"Otu000041","run_2",2.02883912384698
"Otu000001","run_2",2.10982549160828
"Otu000026","run_2",1.75124549071756
"Otu000006","run_2",2.26312416962803
"Otu000021","run_2",2.11213789510663
"Otu000061","run_2",1.69059606028194
"Otu000073","run_2",1.79784486274797
"Otu000005","run_2",1.98109959011089
"Otu000059","run_2",1.63336222620448
"Otu000010","run_2",1.84109739832584
"Otu000161","run_2",1.70721825041773
"Otu000015","run_2",1.93237316118587
"Otu000135","run_2",1.51537251671792
"Otu000058","run_2",1.64967799136442
"Otu000013","run_2",1.67768555931929
"Otu000076","run_2",1.79501639290074
"Otu000014","run_2",1.59988555826321
"Otu000640","run_2",1.63532865244577
"Otu000116","run_2",2.06003783656258
"Otu000085","run_2",2.08985498867092
"Otu000002","run_2",1.8523584538658
"Otu001273","run_2",1.91168335885795
"Otu000101","run_2",1.7275698876917
"Otu000315","run_2",1.64587314417905
"Otu000442","run_2",1.52801630727866
"Otu000009","run_2",1.55270971848578
"Otu000176","run_2",1.34556798487685
