"variables","variable","value"
"Otu000001","run_1",0.130061175383756
"Otu000002","run_1",0
"Otu000003","run_1",0.0661011619958988
"Otu000004","run_1",0
"Otu000005","run_1",0
"Otu000006","run_1",0.0218550724637681
"Otu000007","run_1",0.152348707664884
"Otu000008","run_1",0.0325641025641026
"Otu000009","run_1",0.0226666666666667
"Otu000010","run_1",0.0811366248693835
"Otu000011","run_1",0.431239383792311
"Otu000012","run_1",0.127529355176414
"Otu000013","run_1",0.12852066755084
"Otu000014","run_1",0
"Otu000015","run_1",0.025
"Otu000016","run_1",0.0186666666666667
"Otu000017","run_1",0.0166666666666667
"Otu000018","run_1",0.109702164502164
"Otu000019","run_1",0
"Otu000020","run_1",0.105272654881351
"Otu000021","run_1",0
"Otu000022","run_1",0
"Otu000023","run_1",0.164332958707959
"Otu000025","run_1",0.255953601953602
"Otu000026","run_1",0.382276251526251
"Otu000027","run_1",0.0346666666666667
"Otu000028","run_1",0.137071957852446
"Otu000029","run_1",0
"Otu000030","run_1",0.114832535885167
"Otu000031","run_1",0.351177641090392
"Otu000032","run_1",0
"Otu000034","run_1",0
"Otu000036","run_1",0
"Otu000037","run_1",0.172480922586186
"Otu000038","run_1",0
"Otu000039","run_1",0.015
"Otu000040","run_1",0.357084463346083
"Otu000041","run_1",0.03
"Otu000042","run_1",0.016
"Otu000043","run_1",0.391091120380594
"Otu000044","run_1",0.0481746031746032
"Otu000045","run_1",0
"Otu000046","run_1",0
"Otu000047","run_1",0.0133333333333333
"Otu000048","run_1",0
"Otu000049","run_1",0.182751299268327
"Otu000050","run_1",0.200318734904942
"Otu000051","run_1",0.015
"Otu000055","run_1",0.0192307692307692
"Otu000057","run_1",0.0185714285714286
"Otu000058","run_1",0
"Otu000059","run_1",0.0738487394957983
"Otu000061","run_1",0.632639354109942
"Otu000062","run_1",0.0193103448275862
"Otu000063","run_1",0.436514358644551
"Otu000064","run_1",0.110504201680672
"Otu000065","run_1",0.217838937335712
"Otu000067","run_1",0
"Otu000068","run_1",0.0493103448275862
"Otu000069","run_1",0.0192307692307692
"Otu000070","run_1",0.146128851540616
"Otu000072","run_1",0.186894989106754
"Otu000073","run_1",0.117679487179487
"Otu000074","run_1",0.016
"Otu000075","run_1",0.251488556717759
"Otu000076","run_1",0.0338235294117647
"Otu000077","run_1",0.00925925925925927
"Otu000078","run_1",0
"Otu000079","run_1",0
"Otu000081","run_1",0.0133333333333333
"Otu000082","run_1",0.0507894736842105
"Otu000083","run_1",0.158449901972091
"Otu000084","run_1",0.118141688657818
"Otu000085","run_1",0.0409090909090909
"Otu000086","run_1",0.0919168035030104
"Otu000087","run_1",0.15243956043956
"Otu000088","run_1",0
"Otu000090","run_1",0.0612268518518519
"Otu000091","run_1",0.0252663476874003
"Otu000092","run_1",0.015
"Otu000095","run_1",0
"Otu000096","run_1",0.0492840492840493
"Otu000097","run_1",0
"Otu000098","run_1",0
"Otu000099","run_1",0
"Otu000101","run_1",0.0850282551032176
"Otu000102","run_1",0
"Otu000105","run_1",0
"Otu000106","run_1",0.13126455026455
"Otu000107","run_1",0
"Otu000108","run_1",0.0761175666438824
"Otu000109","run_1",0.0397372742200329
"Otu000110","run_1",0
"Otu000112","run_1",0
"Otu000113","run_1",0
"Otu000114","run_1",0
"Otu000115","run_1",0
"Otu000116","run_1",0.0821739130434782
"Otu000117","run_1",0.402540714027441
"Otu000119","run_1",0.0505263157894737
"Otu000120","run_1",0.037051282051282
"Otu000121","run_1",0
"Otu000122","run_1",0
"Otu000123","run_1",0.0710526315789474
"Otu000124","run_1",0
"Otu000125","run_1",0
"Otu000127","run_1",0.408311492466665
"Otu000128","run_1",0.173553613053613
"Otu000129","run_1",0
"Otu000130","run_1",0
"Otu000132","run_1",0.228153879393444
"Otu000133","run_1",0
"Otu000134","run_1",0.0705714285714285
"Otu000135","run_1",0.548989804307409
"Otu000136","run_1",0.0402380952380953
"Otu000137","run_1",0
"Otu000138","run_1",0
"Otu000139","run_1",0.24317483997484
"Otu000140","run_1",0
"Otu000141","run_1",0
"Otu000143","run_1",0.0314102564102564
"Otu000144","run_1",0.106794871794872
"Otu000145","run_1",0.291830747508167
"Otu000146","run_1",0
"Otu000147","run_1",0.0792857142857143
"Otu000148","run_1",0.553749167083125
"Otu000149","run_1",0
"Otu000150","run_1",0.047002079002079
"Otu000151","run_1",0
"Otu000152","run_1",0
"Otu000153","run_1",0.0192
"Otu000154","run_1",0.187230744783581
"Otu000155","run_1",0.0381461538461538
"Otu000156","run_1",0
"Otu000157","run_1",0.0186666666666667
"Otu000158","run_1",0.152184045234221
"Otu000159","run_1",0.0904273504273504
"Otu000161","run_1",0.076143802434125
"Otu000162","run_1",0
"Otu000163","run_1",0
"Otu000164","run_1",0.0192307692307692
"Otu000165","run_1",0.142886117391381
"Otu000166","run_1",0.032
"Otu000167","run_1",0
"Otu000168","run_1",0
"Otu000169","run_1",0.0323232323232323
"Otu000170","run_1",0
"Otu000171","run_1",0.019
"Otu000172","run_1",0.0619047619047619
"Otu000173","run_1",0.0982894736842105
"Otu000176","run_1",0.015
"Otu000177","run_1",0.0721390977443609
"Otu000178","run_1",0.04
"Otu000179","run_1",0
"Otu000180","run_1",0.0216666666666667
"Otu000181","run_1",0
"Otu000182","run_1",0
"Otu000183","run_1",0
"Otu000184","run_1",0
"Otu000185","run_1",0
"Otu000186","run_1",0.019
"Otu000187","run_1",0
"Otu000188","run_1",0
"Otu000189","run_1",0.0738009049773756
"Otu000190","run_1",0.037037037037037
"Otu000191","run_1",0.059437148217636
"Otu000193","run_1",0
"Otu000194","run_1",0
"Otu000196","run_1",0.0864137162188137
"Otu000197","run_1",0
"Otu000198","run_1",0.0822619047619048
"Otu000199","run_1",0.107796414112204
"Otu000201","run_1",0
"Otu000202","run_1",0.157079951932126
"Otu000203","run_1",0.0349090909090909
