"","otu","lowest_ID","Pvalue","BH_corr"
"1","Otu000012","Clostridiales","0.576557147299033","0.95359116752526"
"2","Otu000006","Bacteroides","0.0399971252812021","0.257827233321613"
"3","Otu000015","Lachnospiraceae","0.593276899621886","0.95359116752526"
"4","Otu000004","Anaerostipes","0.278902507965913","0.674014394250957"
"5","Otu000061","Ruminococcaceae","0.0489191670068277","0.257827233321613"
"6","Otu000005","Bacteroides","0.712460264074644","0.95359116752526"
"7","Otu000013","Blautia","0.731172430766595","0.95359116752526"
"8","Otu000009","Blautia","0.873440818846711","0.95359116752526"
"9","Otu000002","Anaerostipes","0.377037794146957","0.841084310020134"
"10","Otu000014","Clostridiales","0.739751255858926","0.95359116752526"
"11","Otu000605","Blautia","0.00128693187660795","0.0254426584008139"
"12","Otu000037","Streptococcus","0.0334159022879535","0.257827233321613"
"13","Otu000010","Roseburia","0.0622341597672858","0.257827233321613"
"14","Otu000058","Lachnospiraceae","0.201366044000135","0.583961527600392"
"15","Otu000041","Clostridium_XI","0.586808901849379","0.95359116752526"
"16","Otu000001","Bacteroides","0.237754140279088","0.626806369826687"
"17","Otu000028","Ruminococcus","0.0615865277849387","0.257827233321613"
"18","Otu000290","Clostridium_IV","0.946142589215607","0.95359116752526"
"19","Otu000003","Blautia","0.858699201270688","0.95359116752526"
"20","Otu000020","Faecalibacterium","0.875901762082446","0.95359116752526"
"21","Otu000059","Bacteroides","0.897125904740901","0.95359116752526"
"22","Otu000016","Dorea","0.921911751919445","0.95359116752526"
"23","Otu001307","Coprobacillus","0.93728003680792","0.95359116752526"
"24","Otu000085","Dorea","0.493558147527777","0.95359116752526"
"25","Otu000083","Clostridium_XI","0.186758698778307","0.583961527600392"
"26","Otu000036","Lachnospiraceae","0.95359116752526","0.95359116752526"
"27","Otu000315","Clostridium_XlVb","0.13550523477177","0.491206476047667"
"28","Otu000026","Collinsella","0.00175466609660786","0.0254426584008139"
"29","Otu000144","Blautia","0.481921953235091","0.95359116752526"
