"otu","median_IQR","median_MDA","tax_id","rank"
"Otu000278",0.565009356683819,2.70397268608393,"Ruminococcaceae_unclassified",1
"Otu000002",0.361572196014146,2.43989208507622,"Anaerostipes",2
"Otu000042",0.335609301918425,2.42639749965435,"Anaerostipes",3
"Otu000180",0.360703046866512,2.17734980222351,"Clostridiales_unclassified",4
"Otu000101",0.365748215666995,2.11483503752408,"Pasteurellaceae_unclassified",5
"Otu000063",0.425301309093285,1.99518354191701,"Veillonella",6
"Otu000194",0.283393934136291,1.96477623381499,"Actinomyces",7
"Otu000199",0.384506774887442,1.91010858531989,"Clostridiales_unclassified",8
"Otu000059",0.358980220460579,1.89481974997842,"Bacteroides",9
"Otu000070",0.45042699052961,1.64972509802791,"Blautia",10
