"otu","variable","value"
"Otu000007","run_1",2.09483851423344
"Otu000004","run_1",2.3516462306755
"Otu000013","run_1",2.48208879459879
"Otu000040","run_1",2.16102431948869
"Otu000010","run_1",2.27588276446941
"Otu000014","run_1",1.77474100488831
"Otu000120","run_1",1.46477758628864
"Otu000001","run_1",1.38171894791993
"Otu000009","run_1",1.48222916244298
"Otu000003","run_1",0.98789478025746
"Otu000007","run_2",2.25277497143529
"Otu000004","run_2",2.68250988250877
"Otu000013","run_2",2.76458686325955
"Otu000040","run_2",2.21777644724642
"Otu000010","run_2",2.16839974640581
"Otu000014","run_2",1.35991579917707
"Otu000120","run_2",1.20008408844254
"Otu000001","run_2",1.15834295844471
"Otu000009","run_2",1.486664476004
"Otu000003","run_2",1.33789213549689
"Otu000007","run_3",2.60889959139624
"Otu000004","run_3",2.40674754871891
"Otu000013","run_3",2.24759501971711
"Otu000040","run_3",2.16370724118659
"Otu000010","run_3",2.42700950923399
"Otu000014","run_3",1.33685631397943
"Otu000120","run_3",1.52549484038195
"Otu000001","run_3",1.27561460311265
"Otu000009","run_3",1.37325349262992
"Otu000003","run_3",1.12376920806426
"Otu000007","run_4",2.58151209939261
"Otu000004","run_4",2.67589089664203
"Otu000013","run_4",2.28545395827464
"Otu000040","run_4",2.21348810748132
"Otu000010","run_4",2.23391990203665
"Otu000014","run_4",1.47007123626755
"Otu000120","run_4",1.2045455902306
"Otu000001","run_4",1.52313090418354
"Otu000009","run_4",1.21809059658359
"Otu000003","run_4",1.13915986680221
"Otu000007","run_5",2.2765513846255
"Otu000004","run_5",2.4261724084942
"Otu000013","run_5",1.81318603480379
"Otu000040","run_5",2.13822431353398
"Otu000010","run_5",2.15635652992954
"Otu000014","run_5",1.86533233532092
"Otu000120","run_5",1.65489973134903
"Otu000001","run_5",1.40205422510334
"Otu000009","run_5",1.15442176906046
"Otu000003","run_5",1.49490653093714
"Otu000007","run_6",1.58499650087968
"Otu000004","run_6",2.24343445928349
"Otu000013","run_6",2.46688061255735
"Otu000040","run_6",2.3391030892766
"Otu000010","run_6",1.99796024102586
"Otu000014","run_6",1.93165683974636
"Otu000120","run_6",1.70295234784335
"Otu000001","run_6",1.47816410177439
"Otu000009","run_6",1.55475290995142
"Otu000003","run_6",1.3058883713457
"Otu000007","run_7",2.20514667571782
"Otu000004","run_7",2.48740495894408
"Otu000013","run_7",2.49433035185926
"Otu000040","run_7",2.38435639159069
"Otu000010","run_7",2.10087423166824
"Otu000014","run_7",1.64090658166552
"Otu000120","run_7",1.38148011669748
"Otu000001","run_7",1.23316086428192
"Otu000009","run_7",1.14033938567118
"Otu000003","run_7",1.45463202085118
"Otu000007","run_8",2.27307532118382
"Otu000004","run_8",2.93560509817241
"Otu000013","run_8",2.32951759267696
"Otu000040","run_8",2.62224007982257
"Otu000010","run_8",1.91512994152127
"Otu000014","run_8",1.52374210080463
"Otu000120","run_8",1.26170026922022
"Otu000001","run_8",1.45691901721043
"Otu000009","run_8",0.854070022601593
"Otu000003","run_8",1.18326371468084
"Otu000007","run_9",2.6413401060774
"Otu000004","run_9",2.56339407061826
"Otu000013","run_9",2.79314279099549
"Otu000040","run_9",2.23233665530955
