"variables","variable","value"
"Otu000012","run_1",1.36993782077443
"Otu000044","run_1",1.21641005336772
"Otu000037","run_1",0.932814569629079
"Otu000059","run_1",0.879336986057347
"Otu000058","run_1",0.879187057151884
"Otu000006","run_1",0.854152896492809
"Otu000446","run_1",0.801325265081864
"Otu000146","run_1",0.749327530341696
"Otu000005","run_1",0.697920060094885
"Otu000605","run_1",0.688152791674141
"Otu000476","run_1",0.662592460875332
"Otu000088","run_1",0.654807090971245
"Otu000013","run_1",0.640891415758097
"Otu000028","run_1",0.638413403819103
"Otu000229","run_1",0.5861045409393
"Otu000570","run_1",0.579159181239799
"Otu000043","run_1",0.535396272388346
"Otu000340","run_1",0.519990915039761
"Otu000911","run_1",0.512016902167788
"Otu000001","run_1",0.482530147069563
"Otu000015","run_1",0.464941837223354
"Otu000014","run_1",0.459975656431607
"Otu000041","run_1",0.453683135986909
"Otu000061","run_1",0.444656180725683
"Otu000027","run_1",0.444053286586209
"Otu000831","run_1",0.429513749428843
"Otu000036","run_1",0.428275584234587
"Otu000004","run_1",0.419484204165111
"Otu000108","run_1",0.416132469547544
"Otu000177","run_1",0.416028290104422
"Otu001307","run_1",0.415981952808932
"Otu000047","run_1",0.388278723963293
"Otu000026","run_1",0.380738091829162
"Otu000180","run_1",0.38067871332081
"Otu000010","run_1",0.377103890924307
"Otu000660","run_1",0.376098345254127
"Otu000016","run_1",0.367197675422561
"Otu000346","run_1",0.360746142658691
"Otu000009","run_1",0.358140616407563
"Otu000025","run_1",0.351433308087192
"Otu000002","run_1",0.342800324279925
"Otu000251","run_1",0.342295291573672
"Otu000572","run_1",0.342079431124129
"Otu000640","run_1",0.34127060491338
"Otu000290","run_1",0.332459551951378
"Otu000194","run_1",0.329359028836966
"Otu000018","run_1",0.328468774632072
"Otu000003","run_1",0.312043081246481
"Otu001606","run_1",0.308928093590722
"Otu000040","run_1",0.303861914953998
"Otu000007","run_1",0.297593358948192
"Otu000065","run_1",0.297522308302309
"Otu000173","run_1",0.294350599985186
"Otu000109","run_1",0.277557674126676
"Otu000085","run_1",0.268204065754287
"Otu000020","run_1",0.266187782251514
"Otu000155","run_1",0.259578628490719
"Otu000008","run_1",0.255152261123976
"Otu000092","run_1",0.25315112090096
"Otu000048","run_1",0.249938323486983
"Otu000030","run_1",0.22529504269096
"Otu000012","run_2",0.366380112098106
"Otu000044","run_2",0.320297371958917
"Otu000037","run_2",0.328131165620199
"Otu000059","run_2",0.261367236653429
"Otu000058","run_2",0.241195161607962
"Otu000006","run_2",0.314690131015751
"Otu000446","run_2",0.259677612039269
"Otu000146","run_2",0.327854269033704
"Otu000005","run_2",0.297507276700474
"Otu000605","run_2",0.311879740895879
"Otu000476","run_2",0.228299401987246
"Otu000088","run_2",0.219419681450073
"Otu000013","run_2",0.294319462953553
"Otu000028","run_2",0.310449623496555
"Otu000229","run_2",0.191142534808072
"Otu000570","run_2",0.229298470191701
"Otu000043","run_2",0.332801957799996
"Otu000340","run_2",0.189915844602758
"Otu000911","run_2",0.216337467019078
"Otu000001","run_2",0.319092301389981
"Otu000015","run_2",0.316578816572671
"Otu000014","run_2",0.293291122808706
"Otu000041","run_2",0.260063523387444
"Otu000061","run_2",0.251008485796416
"Otu000027","run_2",0.247535155020947
"Otu000831","run_2",0.207979796824918
"Otu000036","run_2",0.243436492770067
"Otu000004","run_2",0.275696472296226
"Otu000108","run_2",0.257530539899602
"Otu000177","run_2",0.269006882949144
"Otu001307","run_2",0.121127819318123
"Otu000047","run_2",0.346500126206226
"Otu000026","run_2",0.256541101122725
"Otu000180","run_2",0.257984058123816
"Otu000010","run_2",0.263561856485026
"Otu000660","run_2",0.213950084250541
"Otu000016","run_2",0.25988747610202
"Otu000346","run_2",0.209379862369721
"Otu000009","run_2",0.250212518500796
"Otu000025","run_2",0.271519880312774
"Otu000002","run_2",0.262092178576837
"Otu000251","run_2",0.244855803835279
"Otu000572","run_2",0.272238835582993
"Otu000640","run_2",0.223813599740161
"Otu000290","run_2",0.267949583911392
"Otu000194","run_2",0.218038524911096
"Otu000018","run_2",0.257122678450752
"Otu000003","run_2",0.260138758956449
"Otu001606","run_2",0.165985663574387
"Otu000040","run_2",0.260104702071312
"Otu000007","run_2",0.299949391536165
"Otu000065","run_2",0.241729869624908
"Otu000173","run_2",0.276009753272811
"Otu000109","run_2",0.234968897445828
"Otu000085","run_2",0.261572247186372
"Otu000020","run_2",0.265511304061932
"Otu000155","run_2",0.23343917053753
"Otu000008","run_2",0.310008063694773
"Otu000092","run_2",0.243698951584492
"Otu000048","run_2",0.207303433135506
"Otu000030","run_2",0.240939237805018
"Otu000012","run_3",1.33626650639641
"Otu000044","run_3",1.06884482373786
"Otu000037","run_3",0.445004736636847
"Otu000059","run_3",0.629020796464293
"Otu000058","run_3",0.655016184228285
"Otu000006","run_3",1.13159174209995
"Otu000446","run_3",0.439301265156193
"Otu000146","run_3",0.546674366063014
"Otu000005","run_3",0.668569704651758
"Otu000605","run_3",0.701208156912263
"Otu000476","run_3",0.657546362886159
"Otu000088","run_3",0.342992012901118
"Otu000013","run_3",0.584268023755645
"Otu000028","run_3",0.514309122718132
"Otu000229","run_3",0.645900460117745
"Otu000570","run_3",0.660257608588017
"Otu000043","run_3",0.612584543828303
"Otu000340","run_3",0.66221164573549
"Otu000911","run_3",0.639458171288963
"Otu000001","run_3",0.420685739545067
"Otu000015","run_3",0.444281745963886
"Otu000014","run_3",0.406728988238221
"Otu000041","run_3",0.375950743609464
"Otu000061","run_3",0.515656250453801
"Otu000027","run_3",0.404950983447596
"Otu000831","run_3",0.354874178123773
"Otu000036","run_3",0.317115953820115
"Otu000004","run_3",0.30408168511979
"Otu000108","run_3",0.416462848607443
"Otu000177","run_3",0.317777906569054
"Otu001307","run_3",0.372562176284799
"Otu000047","run_3",0.321891271734983
"Otu000026","run_3",0.437220726559108
"Otu000180","run_3",0.329311332208722
"Otu000010","run_3",0.374432416383151
"Otu000660","run_3",0.673837159968992
"Otu000016","run_3",0.314615622875937
"Otu000346","run_3",0.500674594324815
"Otu000009","run_3",0.372026173197009
"Otu000025","run_3",0.389098137730118
"Otu000002","run_3",0.330354729007671
"Otu000251","run_3",0.431635261635046
"Otu000572","run_3",0.162592881461669
"Otu000640","run_3",0.435503315151677
"Otu000290","run_3",0.410089347680408
"Otu000194","run_3",0.34967250229598
"Otu000018","run_3",0.435802964721969
"Otu000003","run_3",0.387676666337266
"Otu001606","run_3",0.314342544772941
"Otu000040","run_3",0.535274154999435
"Otu000007","run_3",0.346319463489958
"Otu000065","run_3",0.368485730672213
"Otu000173","run_3",0.4080124011259
"Otu000109","run_3",0.311531672282171
"Otu000085","run_3",0.356153594613311
"Otu000020","run_3",0.289361254468411
"Otu000155","run_3",0.341848753302033
"Otu000008","run_3",0.520158032292861
"Otu000092","run_3",0.512989201895332
"Otu000048","run_3",0.404234183470343
"Otu000030","run_3",0.317349591431626
"Otu000012","run_4",1.04575431269436
"Otu000044","run_4",0.725644301277948
"Otu000037","run_4",0.696997530824024
"Otu000059","run_4",0.493531015918988
"Otu000058","run_4",0.473425545655919
"Otu000006","run_4",0.819570271709207
"Otu000446","run_4",0.352914844347275
"Otu000146","run_4",0.483134359709501
"Otu000005","run_4",0.495257813800844
"Otu000605","run_4",0.680092124868942
"Otu000476","run_4",0.449710732065418
"Otu000088","run_4",0.281852009897234
"Otu000013","run_4",0.527897058445636
"Otu000028","run_4",0.397418015722111
"Otu000229","run_4",0.537417151973256
"Otu000570","run_4",0.292334894651806
"Otu000043","run_4",0.877402569250737
"Otu000340","run_4",0.632602096714945
"Otu000911","run_4",0.441219338353822
"Otu000001","run_4",0.399798798883001
"Otu000015","run_4",0.531346386724516
"Otu000014","run_4",0.340458586375198
"Otu000041","run_4",0.508456386171891
"Otu000061","run_4",0.306680577748811
"Otu000027","run_4",0.325949677449998
"Otu000831","run_4",0.798943741893856
"Otu000036","run_4",0.322513507519244
"Otu000004","run_4",0.379865068709983
"Otu000108","run_4",0.389316820601568
"Otu000177","run_4",0.555146311337328
"Otu001307","run_4",0.968570890211327
