"variables","variable","value"
"Otu000001","run_1",0.304608633065384
"Otu000002","run_1",0
"Otu000003","run_1",0
"Otu000004","run_1",0.0373333333333333
"Otu000005","run_1",0.0366666666666667
"Otu000006","run_1",0.19021978021978
"Otu000007","run_1",0.0355555555555556
"Otu000008","run_1",0.0166666666666667
"Otu000009","run_1",0.239640314071893
"Otu000010","run_1",0
"Otu000011","run_1",0
"Otu000012","run_1",0.0188235294117647
"Otu000013","run_1",0
"Otu000014","run_1",0
"Otu000015","run_1",0.105019138755981
"Otu000016","run_1",0.102750995134896
"Otu000017","run_1",0.0924274322169059
"Otu000018","run_1",0.019047619047619
"Otu000019","run_1",0
"Otu000020","run_1",0.0184615384615385
"Otu000021","run_1",0.164696193025989
"Otu000022","run_1",0
"Otu000023","run_1",0.0363636363636364
"Otu000025","run_1",0.016
"Otu000026","run_1",0
"Otu000027","run_1",0
"Otu000028","run_1",0
"Otu000029","run_1",0.0899439775910364
"Otu000030","run_1",0
"Otu000031","run_1",0.204595454545455
"Otu000032","run_1",0.035
"Otu000034","run_1",0
"Otu000036","run_1",0
"Otu000037","run_1",0
"Otu000038","run_1",0
"Otu000039","run_1",0.152909904740568
"Otu000040","run_1",0.14047029338051
"Otu000041","run_1",0.13989690134427
"Otu000042","run_1",0.01875
"Otu000043","run_1",0.0845833333333333
"Otu000044","run_1",0
"Otu000045","run_1",0.083859649122807
"Otu000046","run_1",0
"Otu000047","run_1",0.0635586206896551
"Otu000048","run_1",0
"Otu000049","run_1",0.154177666760484
"Otu000050","run_1",0.0189473684210526
"Otu000055","run_1",0.0718367658276125
"Otu000058","run_1",0.045
"Otu000059","run_1",0.0188888888888889
"Otu000061","run_1",0
"Otu000062","run_1",0
"Otu000063","run_1",0.146546944283786
"Otu000064","run_1",0.0235897435897436
"Otu000065","run_1",0.0166666666666667
"Otu000067","run_1",0.0190909090909091
"Otu000068","run_1",0.0190909090909091
"Otu000069","run_1",0
"Otu000070","run_1",0
"Otu000072","run_1",0
"Otu000073","run_1",0.118905502392344
"Otu000074","run_1",0
"Otu000075","run_1",0
"Otu000076","run_1",0
"Otu000077","run_1",0.0357894736842105
"Otu000078","run_1",0.0512
"Otu000079","run_1",0
"Otu000081","run_1",0
"Otu000082","run_1",0
"Otu000083","run_1",0
"Otu000084","run_1",0.0514285714285714
"Otu000085","run_1",0
"Otu000086","run_1",0
"Otu000087","run_1",0
"Otu000088","run_1",0.768543800520622
