"","initial","follow_up","lowest_tax_ID"
"Otu000126",0.00368330806488369,1,"Porphyromonas"
"Otu000566",0.193556890024093,1,"Peptostreptococcus"
"Otu000008",1,1,"Bacteroides"
"Otu000013",1,1,"Lachnospiraceae"
"Otu000147",0.232482135616836,1,"Prevotella"
"Otu000319",1,1,"Ruminococcaceae"
"Otu000397",0.00973346834657545,1,"Parvimonas"
"Otu000151",1,1,"Ruminococcus"
"Otu000164",1,1,"Odoribacter"
"Otu000588",1,1,"Bacteria"
"Otu000146",1,1,"Clostridium_XlVb"
"Otu000347",1,1,"Coprobacillus"
"Otu000671",1.50793734673459e-06,0.0318722505108775,"Dialister"
"Otu000016",1,1,"Parabacteroides"
