"","otu","lowest_ID","Pvalue","BH_corr"
"Otu000012","Otu000012","Blautia",0.00375230706734716,0.0450276848081659
"Otu000020","Otu000020","Ruminococcaceae",0.13904920881343,0.329411175753975
"Otu000018","Otu000018","Escherichia/Shigella",0.0431082326143337,0.172432930457335
"Otu000008","Otu000008","Faecalibacterium",0.164705587876988,0.329411175753975
"Otu000005","Otu000005","Bacteroides",0.233013467237621,0.352675194265169
"Otu000002","Otu000002","Anaerostipes",0.269417859574974,0.355530498030325
"Otu000003","Otu000003","Roseburia",0.296275415025271,0.355530498030325
"Otu000027","Otu000027","Bacteroides",0.697189637124737,0.697189637124737
"Otu000082","Otu000082","Streptococcus",0.235116796176779,0.352675194265169
"Otu000124","Otu000124","Clostridiales_unclassified",0.100624641614361,0.301873924843082
"Otu000030","Otu000030","Streptococcus",0.011625753018091,0.0697545181085461
"Otu000004","Otu000004","Bacteroides",0.369437396822875,0.403022614715864
