"","otu","Domain","Phyla","Order","Class","Family","Genus","Pvalue","BH_corr"
"Otu000012","Otu000012","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",0.00375230706734716,0.0412753777408187
"Otu000005","Otu000005","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",0.233013467237621,0.323285594743071
"Otu000030","Otu000030","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",0.011625753018091,0.0639416415995006
"Otu000004","Otu000004","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",0.369437396822875,0.406381136505163
"Otu000008","Otu000008","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",0.164705587876988,0.301960244441144
"Otu000018","Otu000018","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",0.0431082326143337,0.15806351958589
"Otu000002","Otu000002","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",0.269417859574974,0.329288495036079
"Otu000082","Otu000082","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",0.235116796176779,0.323285594743071
"Otu000027","Otu000027","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",0.697189637124737,0.697189637124737
"Otu000124","Otu000124","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Bacteria",0.100624641614361,0.276717764439492
"Otu000020","Otu000020","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Bacteria",0.13904920881343,0.301960244441144
