"variables","variable","value"
"Otu000061","run_1",4.46175634817256
"Otu000058","run_1",4.15670283632416
"Otu000006","run_1",4.03723278120608
"Otu000015","run_1",3.91358338988298
"Otu000005","run_1",3.8246415670465
"Otu000004","run_1",3.79459632707161
"Otu000037","run_1",3.7888094466792
"Otu000001","run_1",3.64491286948416
"Otu000014","run_1",3.63158726255613
"Otu000002","run_1",3.6048818538239
"Otu000009","run_1",3.49386504081217
"Otu000012","run_1",3.49381599448029
"Otu000018","run_1",3.45661148002545
"Otu000013","run_1",3.4396272343313
"Otu000041","run_1",3.41809838932249
"Otu000026","run_1",3.39329739361668
"Otu000036","run_1",3.34143708071476
"Otu000059","run_1",3.33861478390958
"Otu000003","run_1",3.27522196963789
"Otu000020","run_1",3.26496036601797
"Otu000010","run_1",3.24730871047266
"Otu000007","run_1",3.19890426048947
"Otu000085","run_1",3.18889773653873
"Otu000290","run_1",3.13472139456271
"Otu000040","run_1",3.12507662889056
"Otu000155","run_1",3.10341968247078
"Otu000021","run_1",3.0743238330944
"Otu000393","run_1",3.04348755160178
"Otu000634","run_1",3.02813695458054
"Otu000016","run_1",3.0245026159294
"Otu000109","run_1",3.02315990747653
"Otu000044","run_1",3.01768591760489
"Otu000148","run_1",2.99896723410513
"Otu000146","run_1",2.97883448391261
"Otu000083","run_1",2.92414760332508
"Otu000108","run_1",2.90141469580707
"Otu000084","run_1",2.88116753057996
"Otu000028","run_1",2.87857881131035
"Otu000180","run_1",2.81511108027295
"Otu000088","run_1",2.81287381272417
"Otu000025","run_1",2.79116242082968
"Otu000315","run_1",2.66213012057375
"Otu000167","run_1",2.37546749304718
"Otu000605","run_1",2.37356706406165
"Otu000196","run_1",2.28213012893676
"Otu000202","run_1",2.27431404615251
"Otu000348","run_1",2.08347716840544
"Otu000199","run_1",2.02296697468792
"Otu000140","run_1",1.98398605472509
"Otu002106","run_1",1.90102626843562
"Otu000654","run_1",1.84734076537934
"Otu000209","run_1",1.84000228474053
"Otu001307","run_1",1.46158579580016
"Otu000808","run_1",1.41772605021341
"Otu000061","run_2",3.51965225616234
"Otu000058","run_2",4.09939766239318
"Otu000006","run_2",4.18581970241197
"Otu000015","run_2",4.38143550768061
"Otu000005","run_2",3.68293384549897
"Otu000004","run_2",3.87593370251276
"Otu000037","run_2",3.37641582635297
"Otu000001","run_2",3.58707789019963
"Otu000014","run_2",3.44230244100426
"Otu000002","run_2",3.31635141127274
"Otu000009","run_2",3.46188482771486
"Otu000012","run_2",3.64048716390571
"Otu000018","run_2",4.27536778969274
"Otu000013","run_2",3.45887395037533
"Otu000041","run_2",3.18351549436944
"Otu000026","run_2",3.14214366381456
"Otu000036","run_2",3.38929725719001
"Otu000059","run_2",3.16239469804062
"Otu000003","run_2",3.45301371022748
"Otu000020","run_2",3.45782603401157
"Otu000010","run_2",3.4017291396342
"Otu000007","run_2",3.47285767569074
"Otu000085","run_2",2.99237734553553
"Otu000290","run_2",2.89657903614306
"Otu000040","run_2",3.34258276379563
"Otu000155","run_2",2.95336057343473
"Otu000021","run_2",3.27680650246566
"Otu000393","run_2",2.62163054472754
"Otu000634","run_2",2.65967173989679
"Otu000016","run_2",3.06641647623784
"Otu000109","run_2",3.07639912122327
"Otu000044","run_2",3.14552850864407
"Otu000148","run_2",2.86943676163797
"Otu000146","run_2",3.41967214265201
"Otu000083","run_2",2.91751961218637
"Otu000108","run_2",3.1147023815442
"Otu000084","run_2",3.31492668326417
"Otu000028","run_2",2.75114425754926
"Otu000180","run_2",3.02216319440741
"Otu000088","run_2",2.64310257262902
"Otu000025","run_2",2.95618811487036
"Otu000315","run_2",2.47875704518572
"Otu000167","run_2",2.31138632001935
"Otu000605","run_2",2.63481024842795
"Otu000196","run_2",2.46431595990754
"Otu000202","run_2",1.82991328467948
"Otu000348","run_2",1.66552955483556
"Otu000199","run_2",2.12727104408414
"Otu000140","run_2",2.32182459749019
"Otu002106","run_2",1.66854116008609
"Otu000654","run_2",1.94725951955304
"Otu000209","run_2",1.69394944597299
"Otu001307","run_2",2.00332814364561
"Otu000808","run_2",1.39320695198718
"Otu000061","run_3",4.18714251420806
"Otu000058","run_3",4.20435245813503
"Otu000006","run_3",3.98296766113453
"Otu000015","run_3",7.31780032699908
"Otu000005","run_3",5.89702677545139
"Otu000004","run_3",2.9744036929027
"Otu000037","run_3",3.1485018755763
"Otu000001","run_3",2.89986013261482
"Otu000014","run_3",2.70835560494144
"Otu000002","run_3",2.34823810868919
"Otu000009","run_3",2.13814004441656
"Otu000012","run_3",3.56053408348815
"Otu000018","run_3",3.96961191184038
"Otu000013","run_3",2.90712912136702
"Otu000041","run_3",2.29938395435245
"Otu000026","run_3",2.60820048079852
"Otu000036","run_3",2.32411430565043
"Otu000059","run_3",2.42013442162354
"Otu000003","run_3",2.92089655429518
"Otu000020","run_3",2.20885498285119
"Otu000010","run_3",3.28524769180503
"Otu000007","run_3",2.32431047597042
"Otu000085","run_3",2.2868501201825
"Otu000290","run_3",3.43325444823895
"Otu000040","run_3",3.45269143828665
"Otu000155","run_3",2.45074038923438
"Otu000021","run_3",2.82778643589026
"Otu000393","run_3",2.99439643533918
"Otu000634","run_3",1.82594787178596
"Otu000016","run_3",2.4067379731814
"Otu000109","run_3",2.51683554855402
"Otu000044","run_3",2.40902558743401
"Otu000148","run_3",1.85477603752248
"Otu000146","run_3",3.13876077589822
"Otu000083","run_3",2.13205451529453
"Otu000108","run_3",2.20506851885249
"Otu000084","run_3",2.44219474871891
"Otu000028","run_3",2.63762082451471
"Otu000180","run_3",2.77212347090717
"Otu000088","run_3",2.57394917193329
"Otu000025","run_3",1.96028402168099
"Otu000315","run_3",2.86213956057253
"Otu000167","run_3",2.18618831691513
"Otu000605","run_3",2.04249200155161
"Otu000196","run_3",2.27595958846077
"Otu000202","run_3",8.92054994513383
"Otu000348","run_3",1.63422620879722
"Otu000199","run_3",2.63085900677941
"Otu000140","run_3",3.0143566893143
"Otu002106","run_3",5.37742242432162
"Otu000654","run_3",2.09544337179535
